"motif","tfs"
"MA0032.2","FOXD4L6"
"MA0032.2","FOXD2"
"MA0032.2","FOXD3"
"MA0032.2","FOXD4"
"MA0032.2","FOXD4L1"
"MA0032.2","FOXD4L3"
"MA0032.2","FOXD4L4"
"MA0032.2","FOXD4L5"
"MA0032.2","FOXC2"
"MA0032.2","FOXB1"
"MA0032.2","FOXB2"
"MA0032.2","FOXS1"
"MA0032.2","FOXR1"
"MA0032.2","FOXR2"
"MA0032.2","FOXQ1"
"MA0032.2","FOXP1"
"MA0032.2","FOXP2"
"MA0032.2","FOXP3"
"MA0032.2","FOXP4"
"MA0032.2","FOXO1"
"MA0032.2","FOXO3"
"MA0032.2","FOXO4"
"MA0032.2","FOXO6"
"MA0032.2","FOXN1"
"MA0032.2","FOXN2"
"MA0032.2","FOXN3"
"MA0032.2","FOXN4"
"MA0032.2","FOXM1"
"MA0032.2","FOXL1"
"MA0032.2","FOXL2"
"MA0032.2","FOXK1"
"MA0032.2","FOXK2"
"MA0032.2","FOXJ1"
"MA0032.2","FOXJ2"
"MA0032.2","FOXJ3"
"MA0032.2","FOXA1"
"MA0032.2","FOXA2"
"MA0032.2","FOXA3"
"MA0033.2","FOXI1"
"MA0033.2","FOXI2"
"MA0033.2","FOXI3"
"MA0033.2","FOXH1"
"MA0033.2","FOXG1"
"MA0033.2","FOXF1"
"MA0033.2","FOXF2"
"MA0033.2","FOXE1"
"MA0033.2","FOXE3"
"MA0033.2","FOXD1"
"MA0033.2","FOXD4L6"
"MA0033.2","FOXD2"
"MA0033.2","FOXD3"
"MA0033.2","FOXD4"
"MA0033.2","FOXD4L1"
"MA0033.2","FOXD4L3"
"MA0033.2","FOXD4L4"
"MA0033.2","FOXD4L5"
"MA0033.2","FOXC1"
"MA0033.2","FOXC2"
"MA0033.2","FOXB1"
"MA0033.2","FOXB2"
"MA0033.2","FOXS1"
"MA0033.2","FOXR1"
"MA0033.2","FOXR2"
"MA0033.2","FOXQ1"
"MA0033.2","FOXP1"
"MA0033.2","FOXP2"
"MA0033.2","FOXP3"
"MA0033.2","FOXP4"
"MA0033.2","FOXO1"
"MA0033.2","FOXO3"
"MA0033.2","FOXO4"
"MA0033.2","FOXO6"
"MA0033.2","FOXN1"
"MA0033.2","FOXN2"
"MA0033.2","FOXN3"
"MA0033.2","FOXN4"
"MA0033.2","FOXM1"
"MA0033.2","FOXL2"
"MA0033.2","FOXK1"
"MA0033.2","FOXK2"
"MA0033.2","FOXJ1"
"MA0033.2","FOXJ2"
"MA0033.2","FOXJ3"
"MA0033.2","FOXA1"
"MA0033.2","FOXA2"
"MA0033.2","FOXA3"
"MA0035.3","GATAD1"
"MA0035.3","DNMT3B"
"MA0035.3","DNMT3L"
"MA0035.3","ATRX"
"MA0035.3","TRPS1"
"MA0035.3","RERE"
"MA0035.3","MTA1"
"MA0035.3","MTA2"
"MA0035.3","MTA3"
"MA0035.3","ZGLP1"
"MA0035.3","DNMT3A"
"MA0035.3","GATA2"
"MA0035.3","GATA3"
"MA0035.3","GATA4"
"MA0035.3","GATA5"
"MA0035.3","GATA6"
"MA0036.2","GATAD1"
"MA0036.2","DNMT3B"
"MA0036.2","DNMT3L"
"MA0036.2","ATRX"
"MA0036.2","TRPS1"
"MA0036.2","RERE"
"MA0036.2","MTA1"
"MA0036.2","MTA2"
"MA0036.2","MTA3"
"MA0036.2","ZGLP1"
"MA0036.2","DNMT3A"
"MA0036.2","GATA1"
"MA0036.2","GATA3"
"MA0036.2","GATA4"
"MA0036.2","GATA5"
"MA0036.2","GATA6"
"MA0037.2","GATAD1"
"MA0037.2","DNMT3B"
"MA0037.2","DNMT3L"
"MA0037.2","ATRX"
"MA0037.2","TRPS1"
"MA0037.2","RERE"
"MA0037.2","MTA1"
"MA0037.2","MTA2"
"MA0037.2","MTA3"
"MA0037.2","ZGLP1"
"MA0037.2","DNMT3A"
"MA0037.2","GATA1"
"MA0037.2","GATA2"
"MA0037.2","GATA4"
"MA0037.2","GATA5"
"MA0037.2","GATA6"
"MA0039.2","EGR1"
"MA0039.2","EGR2"
"MA0039.2","EGR3"
"MA0039.2","EGR4"
"MA0039.2","KLF1"
"MA0039.2","KLF10"
"MA0039.2","KLF11"
"MA0039.2","KLF12"
"MA0039.2","KLF13"
"MA0039.2","KLF14"
"MA0039.2","KLF15"
"MA0039.2","KLF16"
"MA0039.2","KLF17"
"MA0039.2","KLF2"
"MA0039.2","KLF3"
"MA0039.2","KLF5"
"MA0039.2","KLF6"
"MA0039.2","KLF7"
"MA0039.2","KLF8"
"MA0039.2","KLF9"
"MA0039.2","SP1"
"MA0039.2","SP2"
"MA0039.2","SP3"
"MA0039.2","SP4"
"MA0039.2","SP5"
"MA0039.2","SP6"
"MA0039.2","SP7"
"MA0039.2","SP8"
"MA0039.2","SP9"
"MA0040.1","FOXI1"
"MA0040.1","FOXI2"
"MA0040.1","FOXI3"
"MA0040.1","FOXH1"
"MA0040.1","FOXG1"
"MA0040.1","FOXF1"
"MA0040.1","FOXF2"
"MA0040.1","FOXE1"
"MA0040.1","FOXE3"
"MA0040.1","FOXD1"
"MA0040.1","FOXD4L6"
"MA0040.1","FOXD2"
"MA0040.1","FOXD3"
"MA0040.1","FOXD4"
"MA0040.1","FOXD4L1"
"MA0040.1","FOXD4L3"
"MA0040.1","FOXD4L4"
"MA0040.1","FOXD4L5"
"MA0040.1","FOXC1"
"MA0040.1","FOXC2"
"MA0040.1","FOXB1"
"MA0040.1","FOXB2"
"MA0040.1","FOXS1"
"MA0040.1","FOXR1"
"MA0040.1","FOXR2"
"MA0040.1","FOXP1"
"MA0040.1","FOXP2"
"MA0040.1","FOXP3"
"MA0040.1","FOXP4"
"MA0040.1","FOXO1"
"MA0040.1","FOXO3"
"MA0040.1","FOXO4"
"MA0040.1","FOXO6"
"MA0040.1","FOXN1"
"MA0040.1","FOXN2"
"MA0040.1","FOXN3"
"MA0040.1","FOXN4"
"MA0040.1","FOXM1"
"MA0040.1","FOXL1"
"MA0040.1","FOXL2"
"MA0040.1","FOXK1"
"MA0040.1","FOXK2"
"MA0040.1","FOXJ1"
"MA0040.1","FOXJ2"
"MA0040.1","FOXJ3"
"MA0040.1","FOXA1"
"MA0040.1","FOXA2"
"MA0040.1","FOXA3"
"MA0041.1","FOXI1"
"MA0041.1","FOXI2"
"MA0041.1","FOXI3"
"MA0041.1","FOXH1"
"MA0041.1","FOXG1"
"MA0041.1","FOXF1"
"MA0041.1","FOXF2"
"MA0041.1","FOXE1"
"MA0041.1","FOXE3"
"MA0041.1","FOXD1"
"MA0041.1","FOXD4L6"
"MA0041.1","FOXD2"
"MA0041.1","FOXD4"
"MA0041.1","FOXD4L1"
"MA0041.1","FOXD4L3"
"MA0041.1","FOXD4L4"
"MA0041.1","FOXD4L5"
"MA0041.1","FOXC1"
"MA0041.1","FOXC2"
"MA0041.1","FOXB1"
"MA0041.1","FOXB2"
"MA0041.1","FOXS1"
"MA0041.1","FOXR1"
"MA0041.1","FOXR2"
"MA0041.1","FOXQ1"
"MA0041.1","FOXP1"
"MA0041.1","FOXP2"
"MA0041.1","FOXP3"
"MA0041.1","FOXP4"
"MA0041.1","FOXO1"
"MA0041.1","FOXO3"
"MA0041.1","FOXO4"
"MA0041.1","FOXO6"
"MA0041.1","FOXN1"
"MA0041.1","FOXN2"
"MA0041.1","FOXN3"
"MA0041.1","FOXN4"
"MA0041.1","FOXM1"
"MA0041.1","FOXL1"
"MA0041.1","FOXL2"
"MA0041.1","FOXK1"
"MA0041.1","FOXK2"
"MA0041.1","FOXJ1"
"MA0041.1","FOXJ2"
"MA0041.1","FOXJ3"
"MA0041.1","FOXA1"
"MA0041.1","FOXA2"
"MA0041.1","FOXA3"
"MA0042.2","FOXI2"
"MA0042.2","FOXI3"
"MA0042.2","FOXH1"
"MA0042.2","FOXG1"
"MA0042.2","FOXF1"
"MA0042.2","FOXF2"
"MA0042.2","FOXE1"
"MA0042.2","FOXE3"
"MA0042.2","FOXD1"
"MA0042.2","FOXD4L6"
"MA0042.2","FOXD2"
"MA0042.2","FOXD3"
"MA0042.2","FOXD4"
"MA0042.2","FOXD4L1"
"MA0042.2","FOXD4L3"
"MA0042.2","FOXD4L4"
"MA0042.2","FOXD4L5"
"MA0042.2","FOXC1"
"MA0042.2","FOXC2"
"MA0042.2","FOXB1"
"MA0042.2","FOXB2"
"MA0042.2","FOXS1"
"MA0042.2","FOXR1"
"MA0042.2","FOXR2"
"MA0042.2","FOXQ1"
"MA0042.2","FOXP1"
"MA0042.2","FOXP2"
"MA0042.2","FOXP3"
"MA0042.2","FOXP4"
"MA0042.2","FOXO1"
"MA0042.2","FOXO3"
"MA0042.2","FOXO4"
"MA0042.2","FOXO6"
"MA0042.2","FOXN1"
"MA0042.2","FOXN2"
"MA0042.2","FOXN3"
"MA0042.2","FOXN4"
"MA0042.2","FOXM1"
"MA0042.2","FOXL1"
"MA0042.2","FOXL2"
"MA0042.2","FOXK1"
"MA0042.2","FOXK2"
"MA0042.2","FOXJ1"
"MA0042.2","FOXJ2"
"MA0042.2","FOXJ3"
"MA0042.2","FOXA1"
"MA0042.2","FOXA2"
"MA0042.2","FOXA3"
"MA0043.2","DBP"
"MA0043.2","TEF"
"MA0043.2","NFIL3"
"MA0043.2","DDIT3"
"MA0047.2","FOXI1"
"MA0047.2","FOXI2"
"MA0047.2","FOXI3"
"MA0047.2","FOXH1"
"MA0047.2","FOXG1"
"MA0047.2","FOXF1"
"MA0047.2","FOXF2"
"MA0047.2","FOXE1"
"MA0047.2","FOXE3"
"MA0047.2","FOXD1"
"MA0047.2","FOXD4L6"
"MA0047.2","FOXD2"
"MA0047.2","FOXD3"
"MA0047.2","FOXD4"
"MA0047.2","FOXD4L1"
"MA0047.2","FOXD4L3"
"MA0047.2","FOXD4L4"
"MA0047.2","FOXD4L5"
"MA0047.2","FOXC1"
"MA0047.2","FOXC2"
"MA0047.2","FOXB1"
"MA0047.2","FOXB2"
"MA0047.2","FOXS1"
"MA0047.2","FOXR1"
"MA0047.2","FOXR2"
"MA0047.2","FOXQ1"
"MA0047.2","FOXP1"
"MA0047.2","FOXP2"
"MA0047.2","FOXP3"
"MA0047.2","FOXP4"
"MA0047.2","FOXO1"
"MA0047.2","FOXO3"
"MA0047.2","FOXO4"
"MA0047.2","FOXO6"
"MA0047.2","FOXN1"
"MA0047.2","FOXN2"
"MA0047.2","FOXN3"
"MA0047.2","FOXN4"
"MA0047.2","FOXM1"
"MA0047.2","FOXL1"
"MA0047.2","FOXL2"
"MA0047.2","FOXK1"
"MA0047.2","FOXK2"
"MA0047.2","FOXJ1"
"MA0047.2","FOXJ2"
"MA0047.2","FOXJ3"
"MA0047.2","FOXA1"
"MA0047.2","FOXA3"
"MA0048.2","BHLHA9"
"MA0048.2","NEUROD1"
"MA0048.2","BHLHE22"
"MA0048.2","BHLHE23"
"MA0048.2","NEUROD2"
"MA0048.2","NEUROD4"
"MA0048.2","NEUROD6"
"MA0048.2","MESP1"
"MA0048.2","MESP2"
"MA0048.2","TCF23"
"MA0048.2","TWIST1"
"MA0048.2","TWIST2"
"MA0048.2","HAND1"
"MA0048.2","HAND2"
"MA0048.2","SCX"
"MA0048.2","PTF1A"
"MA0048.2","TAL1"
"MA0048.2","TAL2"
"MA0048.2","LYL1"
"MA0048.2","NHLH2"
"MA0050.2","IRF2"
"MA0050.2","IRF3"
"MA0050.2","IRF4"
"MA0050.2","IRF5"
"MA0050.2","IRF6"
"MA0050.2","IRF7"
"MA0050.2","IRF8"
"MA0050.2","IRF9"
"MA0051.1","IRF1"
"MA0051.1","IRF3"
"MA0051.1","IRF4"
"MA0051.1","IRF5"
"MA0051.1","IRF6"
"MA0051.1","IRF7"
"MA0051.1","IRF8"
"MA0051.1","IRF9"
"MA0052.3","MEF2B"
"MA0052.3","MEF2C"
"MA0052.3","MEF2D"
"MA0058.3","MXI1"
"MA0058.3","MNT"
"MA0058.3","MLX"
"MA0058.3","USF1"
"MA0058.3","USF2"
"MA0058.3","TFE3"
"MA0058.3","TFEB"
"MA0058.3","TFEC"
"MA0058.3","MITF"
"MA0058.3","MYCN"
"MA0059.1","MXI1"
"MA0059.1","MNT"
"MA0059.1","MLX"
"MA0059.1","USF1"
"MA0059.1","USF2"
"MA0059.1","TFE3"
"MA0059.1","TFEB"
"MA0059.1","TFEC"
"MA0059.1","MITF"
"MA0059.1","MYCN"
"MA0060.2","NFYB"
"MA0060.2","NFYC"
"MA0067.1","PAX5"
"MA0067.1","PAX8"
"MA0067.1","PAX1"
"MA0067.1","PAX9"
"MA0068.2","PAX6"
"MA0068.2","PAX3"
"MA0068.2","PAX7"
"MA0069.1","PAX4"
"MA0069.1","PAX3"
"MA0069.1","PAX7"
"MA0070.1","MKX"
"MA0070.1","TGIF1"
"MA0070.1","TGIF2"
"MA0070.1","TGIF2LX"
"MA0070.1","TGIF2LY"
"MA0070.1","PKNOX1"
"MA0070.1","PKNOX2"
"MA0070.1","PBX2"
"MA0070.1","PBX3"
"MA0070.1","PBX4"
"MA0070.1","MEIS1"
"MA0070.1","MEIS2"
"MA0070.1","MEIS3"
"MA0070.1","IRX1"
"MA0070.1","IRX2"
"MA0070.1","IRX3"
"MA0070.1","IRX4"
"MA0070.1","IRX5"
"MA0070.1","IRX6"
"MA0074.1","PPARA"
"MA0075.2","HOPX"
"MA0075.2","ISX"
"MA0075.2","LEUTX"
"MA0075.2","NOBOX"
"MA0075.2","OTP"
"MA0075.2","ARGFX"
"MA0075.2","RAX"
"MA0075.2","SEBOX"
"MA0075.2","SHOX"
"MA0075.2","UNCX"
"MA0075.2","ARX"
"MA0075.2","DPRX"
"MA0075.2","DRGX"
"MA0075.2","GSC"
"MA0075.2","GSC2"
"MA0075.2","ESX1"
"MA0075.2","DUXA"
"MA0075.2","DUX4"
"MA0075.2","VSX1"
"MA0075.2","VSX2"
"MA0075.2","TPRX1"
"MA0075.2","SHOX2"
"MA0075.2","RHOXF1"
"MA0075.2","RHOXF2"
"MA0075.2","RHOXF2B"
"MA0075.2","RAX2"
"MA0075.2","PRRX1"
"MA0075.2","PROP1"
"MA0075.2","PITX1"
"MA0075.2","PITX2"
"MA0075.2","PITX3"
"MA0075.2","PHOX2A"
"MA0075.2","PHOX2B"
"MA0075.2","OTX1"
"MA0075.2","OTX2"
"MA0075.2","CRX"
"MA0075.2","MIXL1"
"MA0075.2","HESX1"
"MA0075.2","ALX1"
"MA0075.2","ALX3"
"MA0075.2","ALX4"
"MA0075.2","ELF3"
"MA0076.2","SPDEF"
"MA0076.2","ETV6"
"MA0076.2","ETV7"
"MA0076.2","SPIB"
"MA0076.2","SPIC"
"MA0076.2","EHF"
"MA0076.2","ELF3"
"MA0076.2","ELF5"
"MA0076.2","ELF1"
"MA0076.2","ELF2"
"MA0076.2","ELF4"
"MA0076.2","ELK1"
"MA0076.2","ELK3"
"MA0076.2","ETV1"
"MA0076.2","ETV4"
"MA0076.2","ETV5"
"MA0076.2","ERF"
"MA0076.2","ETV2"
"MA0076.2","FLI1"
"MA0076.2","ERG"
"MA0076.2","FEV"
"MA0076.2","ETV3"
"MA0076.2","ETV3L"
"MA0077.1","SOX30"
"MA0077.1","SOX15"
"MA0077.1","SOX7"
"MA0077.1","SOX17"
"MA0077.1","SOX18"
"MA0077.1","SOX8"
"MA0077.1","SOX10"
"MA0077.1","SOX5"
"MA0077.1","SOX6"
"MA0077.1","SOX13"
"MA0077.1","SOX4"
"MA0077.1","SOX11"
"MA0077.1","SOX12"
"MA0077.1","SOX1"
"MA0077.1","SOX2"
"MA0077.1","SOX3"
"MA0077.1","SOX14"
"MA0077.1","SOX21"
"MA0077.1","SRY"
"MA0078.1","SOX30"
"MA0078.1","SOX15"
"MA0078.1","SOX7"
"MA0078.1","SOX18"
"MA0078.1","SOX8"
"MA0078.1","SOX9"
"MA0078.1","SOX10"
"MA0078.1","SOX5"
"MA0078.1","SOX6"
"MA0078.1","SOX13"
"MA0078.1","SOX4"
"MA0078.1","SOX11"
"MA0078.1","SOX12"
"MA0078.1","SOX1"
"MA0078.1","SOX2"
"MA0078.1","SOX3"
"MA0078.1","SOX14"
"MA0078.1","SOX21"
"MA0078.1","SRY"
"MA0079.3","EGR1"
"MA0079.3","EGR2"
"MA0079.3","EGR3"
"MA0079.3","EGR4"
"MA0079.3","KLF1"
"MA0079.3","KLF10"
"MA0079.3","KLF11"
"MA0079.3","KLF12"
"MA0079.3","KLF13"
"MA0079.3","KLF14"
"MA0079.3","KLF15"
"MA0079.3","KLF16"
"MA0079.3","KLF17"
"MA0079.3","KLF2"
"MA0079.3","KLF3"
"MA0079.3","KLF4"
"MA0079.3","KLF5"
"MA0079.3","KLF6"
"MA0079.3","KLF7"
"MA0079.3","KLF8"
"MA0079.3","KLF9"
"MA0079.3","SP2"
"MA0079.3","SP3"
"MA0079.3","SP4"
"MA0079.3","SP5"
"MA0079.3","SP6"
"MA0079.3","SP7"
"MA0079.3","SP8"
"MA0079.3","SP9"
"MA0081.1","SPDEF"
"MA0081.1","ETV6"
"MA0081.1","ETV7"
"MA0081.1","SPIC"
"MA0081.1","EHF"
"MA0081.1","ELF3"
"MA0081.1","ELF5"
"MA0081.1","ELF1"
"MA0081.1","ELF2"
"MA0081.1","ELF4"
"MA0081.1","ELK1"
"MA0081.1","ELK3"
"MA0081.1","ELK4"
"MA0081.1","ETV1"
"MA0081.1","ETV4"
"MA0081.1","ETV5"
"MA0081.1","ERF"
"MA0081.1","ETV2"
"MA0081.1","FLI1"
"MA0081.1","ERG"
"MA0081.1","FEV"
"MA0081.1","ETV3"
"MA0081.1","ETV3L"
"MA0084.1","SOX30"
"MA0084.1","SOX15"
"MA0084.1","SOX7"
"MA0084.1","SOX17"
"MA0084.1","SOX18"
"MA0084.1","SOX8"
"MA0084.1","SOX9"
"MA0084.1","SOX10"
"MA0084.1","SOX5"
"MA0084.1","SOX6"
"MA0084.1","SOX13"
"MA0084.1","SOX4"
"MA0084.1","SOX11"
"MA0084.1","SOX12"
"MA0084.1","SOX1"
"MA0084.1","SOX2"
"MA0084.1","SOX3"
"MA0084.1","SOX14"
"MA0084.1","SOX21"
"MA0087.1","SOX30"
"MA0087.1","SOX15"
"MA0087.1","SOX7"
"MA0087.1","SOX17"
"MA0087.1","SOX18"
"MA0087.1","SOX8"
"MA0087.1","SOX9"
"MA0087.1","SOX10"
"MA0087.1","SOX6"
"MA0087.1","SOX13"
"MA0087.1","SOX4"
"MA0087.1","SOX11"
"MA0087.1","SOX12"
"MA0087.1","SOX1"
"MA0087.1","SOX2"
"MA0087.1","SOX3"
"MA0087.1","SOX14"
"MA0087.1","SOX21"
"MA0087.1","SRY"
"MA0089.1","MAFF"
"MA0089.1","MAFK"
"MA0089.1","MAFA"
"MA0089.1","MAFB"
"MA0089.1","NRL"
"MA0089.1","ATF2"
"MA0089.1","ATF7"
"MA0089.1","CREB5"
"MA0089.1","NFE2L2"
"MA0089.1","NFE2L3"
"MA0089.1","BACH1"
"MA0089.1","BACH2"
"MA0089.1","JUNB"
"MA0089.1","JUND"
"MA0090.2","TEAD2"
"MA0090.2","TEAD3"
"MA0090.2","TEAD4"
"MA0091.1","BHLHA9"
"MA0091.1","NEUROD1"
"MA0091.1","BHLHE22"
"MA0091.1","BHLHE23"
"MA0091.1","NEUROD2"
"MA0091.1","NEUROD4"
"MA0091.1","NEUROD6"
"MA0091.1","MESP1"
"MA0091.1","MESP2"
"MA0091.1","TCF23"
"MA0091.1","TWIST1"
"MA0091.1","TWIST2"
"MA0091.1","HAND1"
"MA0091.1","HAND2"
"MA0091.1","SCX"
"MA0091.1","PTF1A"
"MA0091.1","TAL2"
"MA0091.1","LYL1"
"MA0091.1","NHLH1"
"MA0091.1","NHLH2"
"MA0091.1","TCF4"
"MA0091.1","TCF12"
"MA0092.1","BHLHA9"
"MA0092.1","NEUROD1"
"MA0092.1","BHLHE22"
"MA0092.1","BHLHE23"
"MA0092.1","NEUROD2"
"MA0092.1","NEUROD4"
"MA0092.1","NEUROD6"
"MA0092.1","MESP1"
"MA0092.1","MESP2"
"MA0092.1","TCF23"
"MA0092.1","TWIST1"
"MA0092.1","TWIST2"
"MA0092.1","HAND2"
"MA0092.1","SCX"
"MA0092.1","PTF1A"
"MA0092.1","TAL1"
"MA0092.1","TAL2"
"MA0092.1","LYL1"
"MA0092.1","NHLH1"
"MA0092.1","NHLH2"
"MA0092.1","TCF4"
"MA0092.1","TCF12"
"MA0093.2","MXI1"
"MA0093.2","MNT"
"MA0093.2","MLX"
"MA0093.2","MAX"
"MA0093.2","USF2"
"MA0093.2","TFE3"
"MA0093.2","TFEB"
"MA0093.2","TFEC"
"MA0093.2","MITF"
"MA0093.2","MYCN"
"MA0103.2","ADNP"
"MA0103.2","ZHX1"
"MA0103.2","ZHX2"
"MA0103.2","ZHX3"
"MA0103.2","HOMEZ"
"MA0103.2","ZFHX2"
"MA0103.2","ZFHX3"
"MA0103.2","ZFHX4"
"MA0103.2","ZEB2"
"MA0103.2","TSHZ1"
"MA0103.2","TSHZ2"
"MA0103.2","TSHZ3"
"MA0103.2","ADNP2"
"MA0104.3","MXI1"
"MA0104.3","MNT"
"MA0104.3","MLX"
"MA0104.3","MAX"
"MA0104.3","USF1"
"MA0104.3","USF2"
"MA0104.3","TFE3"
"MA0104.3","TFEB"
"MA0104.3","TFEC"
"MA0104.3","MITF"
"MA0106.3","TP63"
"MA0106.3","TP73"
"MA0108.2","TBPL1"
"MA0108.2","TBPL2"
"MA0112.3","ESR2"
"MA0112.3","ESRRA"
"MA0112.3","ESRRB"
"MA0112.3","ESRRG"
"MA0112.3","NR3C1"
"MA0112.3","NR3C2"
"MA0112.3","NR3C3"
"MA0112.3","NR3C4"
"MA0113.3","ESR1"
"MA0113.3","ESR2"
"MA0113.3","ESRRA"
"MA0113.3","ESRRB"
"MA0113.3","ESRRG"
"MA0113.3","NR3C2"
"MA0113.3","NR3C3"
"MA0113.3","NR3C4"
"MA0117.2","MAFF"
"MA0117.2","MAFG"
"MA0117.2","MAFK"
"MA0117.2","MAFA"
"MA0117.2","NRL"
"MA0119.1","NFIA"
"MA0119.1","NFIB"
"MA0119.1","NFIX"
"MA0119.1","NANOG"
"MA0119.1","NOTO"
"MA0119.1","VENTX"
"MA0119.1","BSX"
"MA0119.1","HHEX"
"MA0119.1","HLX"
"MA0119.1","EN1"
"MA0119.1","EN2"
"MA0119.1","EMX1"
"MA0119.1","EMX2"
"MA0119.1","DLX1"
"MA0119.1","DLX2"
"MA0119.1","DLX3"
"MA0119.1","DLX4"
"MA0119.1","DLX5"
"MA0119.1","DLX6"
"MA0119.1","DBX1"
"MA0119.1","DBX2"
"MA0119.1","VAX1"
"MA0119.1","VAX2"
"MA0119.1","TLX2"
"MA0119.1","TLX3"
"MA0119.1","BARX1"
"MA0119.1","BARX2"
"MA0119.1","HMX1"
"MA0119.1","HMX2"
"MA0119.1","HMX3"
"MA0119.1","MSX1"
"MA0119.1","MSX2"
"MA0119.1","LBX1"
"MA0119.1","LBX2"
"MA0119.1","BARHL1"
"MA0119.1","BARHL2"
"MA0119.1","NR2E1"
"MA0125.1","HOPX"
"MA0125.1","ISX"
"MA0125.1","LEUTX"
"MA0125.1","OTP"
"MA0125.1","ARGFX"
"MA0125.1","RAX"
"MA0125.1","SEBOX"
"MA0125.1","SHOX"
"MA0125.1","UNCX"
"MA0125.1","ARX"
"MA0125.1","DPRX"
"MA0125.1","DRGX"
"MA0125.1","GSC"
"MA0125.1","GSC2"
"MA0125.1","ESX1"
"MA0125.1","DUXA"
"MA0125.1","DUX4"
"MA0125.1","VSX1"
"MA0125.1","VSX2"
"MA0125.1","TPRX1"
"MA0125.1","SHOX2"
"MA0125.1","RHOXF1"
"MA0125.1","RHOXF2"
"MA0125.1","RHOXF2B"
"MA0125.1","RAX2"
"MA0125.1","PRRX1"
"MA0125.1","PRRX2"
"MA0125.1","PROP1"
"MA0125.1","PITX1"
"MA0125.1","PITX2"
"MA0125.1","PITX3"
"MA0125.1","PHOX2A"
"MA0125.1","PHOX2B"
"MA0125.1","OTX1"
"MA0125.1","OTX2"
"MA0125.1","CRX"
"MA0125.1","MIXL1"
"MA0125.1","HESX1"
"MA0125.1","ALX1"
"MA0125.1","ALX3"
"MA0125.1","ALX4"
"MA0125.1","ELF3"
"MA0132.2","CDX1"
"MA0132.2","CDX2"
"MA0132.2","CDX4"
"MA0132.2","HOXA9"
"MA0132.2","HOXD11"
"MA0132.2","HOXC12"
"MA0132.2","HOXD12"
"MA0132.2","HOXA13"
"MA0132.2","HOXB13"
"MA0132.2","HOXC13"
"MA0132.2","HOXD13"
"MA0132.2","HOXB9"
"MA0132.2","HOXC9"
"MA0132.2","HOXD9"
"MA0132.2","HOXA10"
"MA0132.2","HOXC10"
"MA0132.2","HOXD10"
"MA0132.2","HOXA11"
"MA0132.2","HOXC11"
"MA0132.2","HOXB8"
"MA0132.2","HOXC8"
"MA0132.2","HOXD8"
"MA0132.2","HOXA6"
"MA0132.2","HOXB6"
"MA0132.2","HOXC6"
"MA0132.2","HOXA7"
"MA0132.2","HOXB7"
"MA0132.2","HOXA5"
"MA0132.2","HOXB5"
"MA0132.2","HOXC5"
"MA0132.2","HOXA4"
"MA0132.2","HOXB4"
"MA0132.2","HOXC4"
"MA0132.2","HOXD4"
"MA0132.2","HOXA3"
"MA0132.2","HOXB3"
"MA0132.2","HOXD3"
"MA0132.2","HOXA2"
"MA0132.2","HOXB2"
"MA0132.2","MEOX1"
"MA0132.2","MEOX2"
"MA0132.2","MNX1"
"MA0132.2","GSX1"
"MA0132.2","GSX2"
"MA0132.2","GBX1"
"MA0132.2","GBX2"
"MA0132.2","EVX1"
"MA0132.2","EVX2"
"MA0132.2","HOXA1"
"MA0132.2","HOXB1"
"MA0132.2","HOXD1"
"MA0135.1","LHX6"
"MA0135.1","LHX8"
"MA0135.1","LHX4"
"MA0135.1","LHX2"
"MA0135.1","LHX9"
"MA0135.1","LHX1"
"MA0135.1","LHX5"
"MA0135.1","ISL1"
"MA0135.1","ISL2"
"MA0136.2","SPDEF"
"MA0136.2","ETV6"
"MA0136.2","ETV7"
"MA0136.2","SPIB"
"MA0136.2","SPIC"
"MA0136.2","EHF"
"MA0136.2","ELF3"
"MA0136.2","ELF1"
"MA0136.2","ELF2"
"MA0136.2","ELF4"
"MA0136.2","ELK1"
"MA0136.2","ELK3"
"MA0136.2","ELK4"
"MA0136.2","ETV1"
"MA0136.2","ETV4"
"MA0136.2","ETV5"
"MA0136.2","ERF"
"MA0136.2","ETV2"
"MA0136.2","FLI1"
"MA0136.2","ERG"
"MA0136.2","FEV"
"MA0136.2","ETV3"
"MA0136.2","ETV3L"
"MA0137.3","STAT2"
"MA0137.3","STAT3"
"MA0137.3","STAT4"
"MA0137.3","STAT5A"
"MA0137.3","STAT5B"
"MA0137.3","STAT6"
"MA0140.2","GATAD1"
"MA0140.2","DNMT3B"
"MA0140.2","DNMT3L"
"MA0140.2","ATRX"
"MA0140.2","TRPS1"
"MA0140.2","RERE"
"MA0140.2","MTA1"
"MA0140.2","MTA2"
"MA0140.2","MTA3"
"MA0140.2","ZGLP1"
"MA0140.2","DNMT3A"
"MA0140.2","GATA2"
"MA0140.2","GATA3"
"MA0140.2","GATA4"
"MA0140.2","GATA5"
"MA0140.2","GATA6"
"MA0140.2","BHLHA9"
"MA0140.2","NEUROD1"
"MA0140.2","BHLHE22"
"MA0140.2","BHLHE23"
"MA0140.2","NEUROD2"
"MA0140.2","NEUROD4"
"MA0140.2","NEUROD6"
"MA0140.2","MESP1"
"MA0140.2","MESP2"
"MA0140.2","TCF23"
"MA0140.2","TWIST1"
"MA0140.2","TWIST2"
"MA0140.2","HAND1"
"MA0140.2","HAND2"
